Gene_Id	brefeldin-a_HEPG2_6 h_10 µM
GFOD1	0.934696317
KCTD5	3.806459188
TMCO1	0.571582675
DHX29	-0.809291542
EXOSC4	0.268691868
DDIT4	-0.436886698
PAF1	3.39197731
P4HTM	-0.590782046
SLC35F2	-0.790160358
ZNF586	-0.181178629
FBXL12	7.152122974
TEX10	-0.742531121
YTHDF1	0.72838223
TXNL4B	0.209449887
HERC6	-0.106207021
PIH1D1	-1.149071097
PPP2R3C	1.399442315
FKBP14	0.665433586
CDCA4	0.106139205
PLEKHJ1	-3.193968534
HEATR1	-0.688722253
ANO10	-0.478273213
UBR7	-4.435266495
FAIM	-1.687284231
ADI1	-0.883988619
ABCF3	1.376101017
ENOSF1	0.792401552
LRRC16A	-0.38058129
ANKRD10	-0.588806689
STAP2	-0.149567306
IARS2	0.18305853
NUP133	0.084436923
CNDP2	-0.944848359
FAM63A	0.194676787
KDM3A	-0.621976495
PECR	-1.167696953
EAPP	-0.214468986
CISD1	-3.030355453
ZNF395	1.74110949
KLHL9	0.227472678
NPDC1	-0.744721234
TM9SF3	0.71443522
PAK6	-1.678440094
DUSP22	-1.07336688
ADCK3	0.853233814
CIAPIN1	-0.601668954
PLSCR3	4.605364323
SCYL3	0.082929403
LYRM1	0.543488383
ZMIZ1	0.615912676
MCOLN1	-0.041479111
THAP11	1.607520819
ABHD6	-1.18414259
TRIB3	1.764959455
POLD4	-0.433494747
SQRDL	-1.153113008
ENOPH1	1.05682075
PRUNE	2.570108175
SNX6	-0.043682143
FASTKD5	-0.777538598
ELAC2	0.579541445
ABHD4	2.191858053
MCUR1	-0.991372168
RBKS	1.183904171
ATG3	-0.584726512
NARFL	-0.782082617
ZDHHC6	-0.052645981
ACBD3	-0.101125561
CERK	-0.593803287
NT5DC2	1.95795083
ACD	0.845424712
INTS3	-0.186228395
TRAK2	-0.121253967
METRN	-0.353814214
ELOVL6	-0.687986255
TMEM109	-0.290951133
CCDC86	-0.069221377
TRAPPC6A	3.226855278
CHAC1	0.579077601
MBOAT7	0.23014304
PRR15L	1.184986711
CRELD2	-0.136704385
FSD1	1.016388774
TCTN1	0.540652752
CHMP6	-0.457999885
NPEPL1	4.565232277
FAM57A	-0.056132387
NUP85	2.231521845
TCEAL4	0.750267327
DHDDS	9.121098518
DENND2D	3.472843647
FBXO11	0.972489953
CCDC92	0.654629707
COASY	-0.356341541
WDR61	1.623700261
TSEN2	-0.007671744
PRR7	-0.59115684
ITFG1	-0.349873126
GDPD5	-0.929215789
GRWD1	-0.299528599
ARID5B	-1.697954774
TUBB6	-0.722456098
PSRC1	-0.224455371
ADO	0.645907223
HIST1H2BK	-0.594356894
MICALL1	3.777630091
UBE3B	0.462970197
HN1L	-0.414514303
SLC25A46	-0.532253861
COG7	-3.520548105
MAPK1IP1L	-1.464554429
TBC1D31	-1.716996312
H2AFV	-1.079943657
RPL39L	0.554872096
CANT1	0.070260994
WIPF2	0.8165012
TICAM1	-0.323976338
TXLNA	-0.238797322
SPRED2	0.771967411
EML3	-0.594398022
TMEM110	0.546146274
FAM69A	3.246596575
