source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,sources,references,nsources,nrefs
P27487,P48061,DPP4,CXCL12,1,1,0,1,1,0,,CellPhoneDB;HPRD;Wang,CellPhoneDB:24218476;HPRD:11390394,3,2
P15692,O60462,VEGFA,NRP2,1,1,0,1,1,0,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=9874,Baccin2019;CellPhoneDB;DIP;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:10748121;DIP:10748121;HPRD:10748121;LRdb:10748121,12,4
P28906,P14151,CD34,SELL,1,1,0,1,1,0,,Baccin2019;CellPhoneDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:12889478;LRdb:12889478,10,2
P01023,Q07954,A2M,LRP1,1,1,0,1,1,0,,AlzPathway;Baccin2019;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,AlzPathway:19026743;Baccin2019:10652313;Baccin2019:12194978;Baccin2019:1702392;HPRD:10652313;HPRD:12194978;LRdb:10652313,12,7
O43184,Q13797,ADAM12,ITGA9,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,LRdb:10944520,7,1
Q13444,P08648,ADAM15,ITGA5,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,LRdb:952;LRdb:9914169,7,2
Q13444,Q13797,ADAM15,ITGA9,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,LRdb:10944520,7,1
Q13444,P05556,ADAM15,ITGB1,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,LRdb:109;LRdb:9914169,7,2
P78536,Q15303,ADAM17,ERBB4,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;LRdb;NCI-PID_ProtMapper;ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_ProtMapper;Wang;iTALK,Baccin2019:15534001;HPRD:15534001;LRdb:15534001;ProtMapper:10744726;ProtMapper:15746097;ProtMapper:17486069;ProtMapper:9685416,13,7
P78536,P08648,ADAM17,ITGA5,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,LRdb:14970227,7,1
